0	0	0	0	0	0	0	0	0	0	0	0	Dick_Allen	2006
0	0	0	0	0	0	0	0	0	0	0	47.182	Dick_Allen	2007
65.833	46.065	57.032	87.484	87.774	94.323	96.091	88.935	88.968	93.323	61.194	76.161	Dick_Allen	2008
66.839	76.968	81.774	96.806	92.258	110.516	161.677	123.581	86.067	104.161	93.806	193.677	Dick_Allen	2009
75.774	114.032	95.613	115.097	123.742	78.774	99.710	154.516	104.387	101.613	84.742	83.548	Dick_Allen	2010
78.129	165.871	92.355	99.581	98.548	104.161	143.710	129.097	75.516	92.323	72.839	68.806	Dick_Allen	2011
103.323	116.129	99.645	100.129	138.871	207.968	143.032	126.774	107.161	112.774	86.548	96.677	Dick_Allen	2012
130.484	90.903	97.710	112.387	112.903	99.645	129.452	98.968	91.613	76.452	68.484	75.355	Dick_Allen	2013
0	0	0	0	0	0	0	0	0	0	0	0	Gene_Alley	2005
0	0	0	0	0	0	0	0	0	0	0	0	Gene_Alley	2006
0	0	0	0	0	0	0	0	0	0	0	8.682	Gene_Alley	2007
11.233	7.677	8.097	15.710	12.226	12.645	11.727	9.452	7.677	8.742	9.452	8.387	Gene_Alley	2008
9.968	9.323	10.032	11.516	13.484	11.710	12.871	10.613	9.600	11.290	8.677	8.968	Gene_Alley	2009
9.355	9.774	13.387	14.387	15.742	10.742	11.839	16.355	15.129	13.645	16.258	13.387	Gene_Alley	2010
11.194	10.806	8.710	11.387	12.581	18.742	15.032	11.258	7.581	10.871	9.194	9.194	Gene_Alley	2011
10.161	10.581	10.710	10.226	13.645	14.677	17.903	14.871	13.032	14.645	10.097	9.677	Gene_Alley	2012
11.677	9.258	10.548	13.935	14.129	13.710	12.839	17.645	11.516	10.903	8.032	7.903	Gene_Alley	2013
0	0	0	0	0	0	0	0	0	0	0	0	Roberto_Alomar	2005
0	0	0	0	0	0	0	0	0	0	0	0	Roberto_Alomar	2006
0	0	0	0	0	0	0	0	0	0	0	120.955	Roberto_Alomar	2007
128.667	133.903	167.387	388.645	261.839	270.032	314.636	218.935	214.613	219.935	127.710	117.548	Roberto_Alomar	2008
233.000	4373.355	321.226	384.548	581.581	357.290	496.323	502.484	248.867	306.129	458.194	337.968	Roberto_Alomar	2009
1367.129	170.097	221.677	261.387	278.839	240.677	308.323	532.323	312.581	1254.387	426.323	347.548	Roberto_Alomar	2010
2606.194	307.290	288.355	497.710	374.516	363.710	2984.613	756.613	266.387	311.355	422.774	221.710	Roberto_Alomar	2011
317.194	349.677	238.258	346.839	379.323	348.452	378.581	315.516	397.387	546.387	302.161	499.516	Roberto_Alomar	2012
383.839	257.645	355.581	382.000	371.935	361.097	377.226	319.323	225.645	272.161	171.871	163.548	Roberto_Alomar	2013
0	0	0	0	0	0	0	0	0	0	0	0	Sandy_Alomar,_Jr.	2005
0	0	0	0	0	0	0	0	0	0	0	0	Sandy_Alomar,_Jr.	2006
0	0	0	0	0	0	0	0	0	0	0	39.682	Sandy_Alomar,_Jr.	2007
43.333	51.355	66.935	121.226	107.065	105.935	112.091	82.065	67.935	55.839	40.258	40.097	Sandy_Alomar,_Jr.	2008
56.097	286.806	76.613	101.645	122.968	113.000	148.419	124.806	65.633	97.000	210.290	68.290	Sandy_Alomar,_Jr.	2009
141.419	58.581	85.935	109.161	104.000	77.871	100.839	123.839	78.032	193.613	73.903	64.871	Sandy_Alomar,_Jr.	2010
236.032	70.774	82.903	160.355	125.484	104.290	387.935	139.097	87.806	112.452	245.806	46.226	Sandy_Alomar,_Jr.	2011
55.871	85.032	63.000	121.032	120.710	109.645	118.742	96.194	187.742	368.516	120.097	89.871	Sandy_Alomar,_Jr.	2012
102.129	79.323	91.742	114.258	119.258	96.806	104.129	90.387	70.161	107.000	46.903	39.290	Sandy_Alomar,_Jr.	2013
0	0	0	0	0	0	0	0	0	0	0	0	Felipe_Alou	2005
0	0	0	0	0	0	0	0	0	0	0	0	Felipe_Alou	2006
0	0	0	0	0	0	0	0	0	0	0	56.273	Felipe_Alou	2007
51.667	52.452	65.258	124.613	129.581	113.161	98.727	81.710	63.419	70.806	55.645	54.258	Felipe_Alou	2008
63.645	60.968	125.097	78.323	94.839	95.097	114.484	101.645	70.333	86.742	67.742	49.742	Felipe_Alou	2009
58.903	54.613	78.548	109.419	116.710	84.161	97.710	132.129	116.452	231.032	167.710	68.613	Felipe_Alou	2010
77.161	68.290	75.581	105.613	106.645	104.323	142.355	89.419	104.032	115.516	359.677	66.871	Felipe_Alou	2011
67.935	78.129	63.613	93.581	112.387	111.194	106.000	92.323	99.968	226.000	99.581	72.484	Felipe_Alou	2012
87.484	62.065	119.000	143.129	110.516	87.613	86.000	87.968	67.065	93.968	48.903	50.097	Felipe_Alou	2013
0	0	0	0	0	0	0	0	0	0	0	0	Jes%C3%BAs_Alou	2005
0	0	0	0	0	0	0	0	0	0	0	0	Jes%C3%BAs_Alou	2006
0	0	0	0	0	0	0	0	0	0	0	16.182	Jes%C3%BAs_Alou	2007
14.367	13.710	13.645	19.194	22.677	26.645	21.182	25.516	17.323	17.968	16.903	23.065	Jes%C3%BAs_Alou	2008
17.968	15.645	24.226	25.258	26.032	23.613	26.710	23.000	41.133	21.935	18.613	21.226	Jes%C3%BAs_Alou	2009
20.710	17.161	24.968	29.774	27.323	20.968	21.484	31.323	27.871	38.839	34.387	24.484	Jes%C3%BAs_Alou	2010
20.935	19.097	21.161	26.355	27.387	25.484	34.032	23.806	26.355	25.903	172.419	24.065	Jes%C3%BAs_Alou	2011
24.419	19.968	21.258	26.903	31.419	29.710	30.677	27.000	24.645	33.161	22.484	19.290	Jes%C3%BAs_Alou	2012
25.452	17.710	29.452	33.355	29.613	29.806	25.000	25.774	17.419	22.355	14.161	16.484	Jes%C3%BAs_Alou	2013
0	0	0	0	0	0	0	0	0	0	0	0	Matty_Alou	2005
0	0	0	0	0	0	0	0	0	0	0	0	Matty_Alou	2006
0	0	0	0	0	0	0	0	0	0	0	23.136	Matty_Alou	2007
23.700	20.935	25.226	36.387	46.839	54.387	37.818	32.968	27.548	27.581	25.258	43.258	Matty_Alou	2008
25.032	23.968	37.065	35.484	38.452	37.710	46.032	39.645	32.200	33.645	37.161	33.129	Matty_Alou	2009
28.935	27.387	38.226	49.774	48.581	35.258	41.290	54.613	43.484	58.355	58.419	38.871	Matty_Alou	2010
34.000	32.032	30.613	34.129	38.581	37.935	45.839	39.355	34.000	41.839	806.290	89.161	Matty_Alou	2011
42.968	40.839	36.581	46.613	49.000	51.645	60.097	53.161	49.935	64.871	42.452	38.903	Matty_Alou	2012
48.677	35.903	48.129	46.903	49.839	48.613	44.548	42.548	31.645	40.323	24.710	31.097	Matty_Alou	2013
